Choki Dendup	Sr. Health Assistant	Chamgang RBP PHC	17733331						
Suk Bdr. Thingh	Health Assistant	Genekha PHP	77246057						
Tshering Choden	Sr. Health Assistant	Changjiji Sat.Clinic	17600150						
Ratnalal Dahal	Clinical Officer	Motithang Sat. Clinic	17609951						
Sangay Wangchuk	Health Assistant	Hejo Sat. Clinic	17696680						
Lham Choden	Sr. Health Assistant	RBP (HQ) Dispensary	17698813						
Kuenga Wangchuk	Nursing Assistant	Lingzhi PHC	17852054						
Dawa Gyeltshen	Health Assistant	Soe PHO	17767323						
Sangay Wangdi	Health Assistant	Barshong PHC	17308585						
Kencho Wangdi	Sr.DHO	Dzongkhag	17614351						
Passang Dorji	ADHO	Dzongkhag	17129872						
									
Teleconsultation services									
JDWNRH has arranged teleconsultation services during the lockdown period to ensure medical services are available everyday from 9am-5pm.									
Clinical Department	77119017/77119018								
General OPD	17841106 / 77764045								
Medical	17841100 /77858802								
Pediatrics	17841101/77858803								
Dermatology	17841102/77858807								
Orthopedic	17841103 / 77858806								
Psychiatry	17841104 / 77858801								
Surgery	17841105 / 77764042								
Gynecology & Obstetrics	17841107 / 77764041								
Ear Nose Throat (ENT)	77858804								
Ophthalmology (Eye)	17897233								
Physiotherapy	77858805 / 17841108								
Dentistry	77119024								
One Stop Crisis Center (OSCC)	17251396								
Community Health	77119021/77119022								
Pharmacy									
									
